I, [2022-04-13T21:07:57.096530 #46758]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.2.2)
E, [2022-04-13T21:07:57.096661 #46758] ERROR -- Kitchen: ------Exception-------
E, [2022-04-13T21:07:57.096675 #46758] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-04-13T21:07:57.096684 #46758] ERROR -- Kitchen: Message: Kitchen YAML file /Users/dwayne/Documents/Terraform-Handbook/Chapter 6 - Building a multi-environment architecture/kitchen.yml does not exist.
E, [2022-04-13T21:07:57.096692 #46758] ERROR -- Kitchen: ----------------------
E, [2022-04-13T21:07:57.096700 #46758] ERROR -- Kitchen: ------Backtrace-------
E, [2022-04-13T21:07:57.096707 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-04-13T21:07:57.096714 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:153:in `data'
E, [2022-04-13T21:07:57.096722 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:131:in `suites'
E, [2022-04-13T21:07:57.096729 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-04-13T21:07:57.096737 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-04-13T21:07:57.096744 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:116:in `instances'
E, [2022-04-13T21:07:57.096753 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-04-13T21:07:57.096761 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-04-13T21:07:57.096768 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-04-13T21:07:57.096775 #46758] ERROR -- Kitchen: /System/Library/Frameworks/Ruby.framework/Versions/2.6/usr/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2022-04-13T21:07:57.096782 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:33:in `call'
E, [2022-04-13T21:07:57.096789 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:52:in `perform'
E, [2022-04-13T21:07:57.096796 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-04-13T21:07:57.096803 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2022-04-13T21:07:57.096809 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-04-13T21:07:57.096817 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2022-04-13T21:07:57.096824 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2022-04-13T21:07:57.096831 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `block in <top (required)>'
E, [2022-04-13T21:07:57.096838 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2022-04-13T21:07:57.096844 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `<top (required)>'
E, [2022-04-13T21:07:57.096851 #46758] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2022-04-13T21:07:57.096858 #46758] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<top (required)>'
E, [2022-04-13T21:07:57.096865 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli/exec.rb:58:in `load'
E, [2022-04-13T21:07:57.096872 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli/exec.rb:58:in `kernel_load'
E, [2022-04-13T21:07:57.096879 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli/exec.rb:23:in `run'
E, [2022-04-13T21:07:57.096893 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli.rb:483:in `exec'
E, [2022-04-13T21:07:57.096899 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/vendor/thor/lib/thor/command.rb:27:in `run'
E, [2022-04-13T21:07:57.096905 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/vendor/thor/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-04-13T21:07:57.096913 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/vendor/thor/lib/thor.rb:392:in `dispatch'
E, [2022-04-13T21:07:57.096918 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli.rb:31:in `dispatch'
E, [2022-04-13T21:07:57.096924 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/vendor/thor/lib/thor/base.rb:485:in `start'
E, [2022-04-13T21:07:57.096930 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/cli.rb:25:in `start'
E, [2022-04-13T21:07:57.096936 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/exe/bundle:48:in `block in <top (required)>'
E, [2022-04-13T21:07:57.096942 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/lib/bundler/friendly_errors.rb:103:in `with_friendly_errors'
E, [2022-04-13T21:07:57.096947 #46758] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/bundler-2.3.11/exe/bundle:36:in `<top (required)>'
E, [2022-04-13T21:07:57.096952 #46758] ERROR -- Kitchen: /usr/bin/bundle:23:in `load'
E, [2022-04-13T21:07:57.096958 #46758] ERROR -- Kitchen: /usr/bin/bundle:23:in `<main>'
E, [2022-04-13T21:07:57.096963 #46758] ERROR -- Kitchen: ----End Backtrace-----
